3.446699999999999764e-02 5.826350650047254476e+02 4.416258692097748622e+02 1.692939099881104692e+00 1.478378815579738159e+00
6.951499999999999346e-02 3.773543318968679159e+03 2.529388232164494184e+03 1.283805750770431908e+00 9.394048955672061885e-01
1.051819999999999977e-01 2.921874020622993157e+03 2.104381628930117586e+03 1.459423139375577660e+00 1.223659598120306891e+00
1.415099999999999969e-01 3.250719528188051754e+03 2.438216096487944924e+03 1.571883232975884281e+00 1.363754440821232317e+00
1.785450000000000093e-01 3.724260098628585183e+03 2.855091940419863022e+03 1.645213165279616474e+00 1.451925802417328049e+00
2.163319999999999965e-01 4.201418267544826449e+03 3.267033689122903070e+03 1.709761185138765516e+00 1.522868362876153459e+00
2.549210000000000087e-01 4.664314577714347251e+03 3.663595005742059129e+03 1.761783262550309370e+00 1.578478497816721893e+00
2.943629999999999858e-01 5.119625806939099675e+03 4.051219563591547285e+03 1.807792317760406275e+00 1.623609753126643351e+00
3.347129999999999828e-01 5.600599516409491116e+03 4.456013342166586881e+03 1.845917264237341593e+00 1.657391064385389745e+00
3.760270000000000001e-01 6.069336783235570692e+03 4.852779877205542107e+03 1.877360687513505155e+00 1.684169226962021870e+00
4.183680000000000176e-01 6.559000963881026109e+03 5.264385663279316759e+03 1.902049192389376309e+00 1.702832397592030755e+00
4.617990000000000150e-01 7.099520555360742037e+03 5.712552217452697732e+03 1.922602863850984001e+00 1.714252508795374830e+00
5.063870000000000315e-01 7.698220414619639087e+03 6.203648754875285704e+03 1.940459594223535422e+00 1.719711887219588231e+00
5.522049999999999459e-01 8.318007142556452891e+03 6.711918298904132826e+03 1.956470289210838320e+00 1.722101832640847263e+00
5.993290000000000006e-01 8.945565861842116647e+03 7.227903207722779371e+03 1.970380657751825249e+00 1.722246925139816698e+00
6.478380000000000249e-01 9.577845924543227738e+03 7.749581872887210920e+03 1.982843177300788406e+00 1.720763514134129535e+00
6.978180000000000494e-01 1.021752154681578759e+04 8.279710887198642013e+03 1.994248090486186786e+00 1.717887878742143881e+00
7.493610000000000548e-01 1.085985049593998519e+04 8.815162822297914317e+03 2.004887049186732106e+00 1.714056947732842007e+00
8.025609999999999689e-01 1.148843676545799462e+04 9.343556155209820645e+03 2.014120540274920046e+00 1.709848307282985980e+00
8.575220000000000065e-01 1.208633938216828574e+04 9.851464112765752361e+03 2.021406510380619359e+00 1.705777861028157538e+00
9.143520000000000536e-01 1.263591951117357166e+04 1.032382287476801503e+04 2.025958926159795226e+00 1.702282679999681747e+00
9.731680000000000330e-01 1.312847402825409154e+04 1.075195769008628849e+04 2.027902150383878332e+00 1.699703512404100003e+00
1.034092999999999929e+00 1.355194079613602116e+04 1.112461452762931913e+04 2.026988757474972314e+00 1.698319085887108448e+00
1.097259999999999902e+00 1.389044831389390311e+04 1.142781637008790494e+04 2.023087584957369955e+00 1.698460665011424231e+00
1.162811000000000039e+00 1.412745441179878071e+04 1.164740994936203424e+04 2.015890692869527712e+00 1.700331623409407023e+00
1.230895999999999990e+00 1.425709673234896036e+04 1.177875935720547932e+04 2.005633138725400499e+00 1.703845048292969455e+00
1.301677999999999891e+00 1.427951199965422529e+04 1.182282887186415246e+04 1.992704117799194208e+00 1.708744272052818092e+00
1.375329999999999941e+00 1.421038456848856549e+04 1.179404231628262642e+04 1.978294764673564243e+00 1.714611250095614770e+00
1.452039999999999997e+00 1.407505724230845044e+04 1.171429246539604355e+04 1.963650082949630393e+00 1.720938095569084281e+00
1.532006999999999897e+00 1.390002334409524883e+04 1.160535550454556142e+04 1.949791501267401417e+00 1.727326980553672842e+00
1.615448999999999913e+00 1.369863111420798305e+04 1.147759761331230766e+04 1.937088322728822476e+00 1.733649396172463941e+00
1.702596999999999916e+00 1.347838765892469746e+04 1.133629973585979133e+04 1.925655679413639687e+00 1.739879733486706881e+00
1.793703000000000047e+00 1.323819490458504515e+04 1.117963850057260970e+04 1.915176370374379600e+00 1.746008865795608767e+00
1.889037999999999995e+00 1.298705956553608848e+04 1.101418649755372462e+04 1.905788681097539961e+00 1.751988994889629225e+00
1.988895999999999997e+00 1.272972124567043284e+04 1.084321957378653497e+04 1.897500740670700958e+00 1.757831199219410445e+00
2.093595999999999790e+00 1.246575766989898148e+04 1.066578127183061770e+04 1.890056785498975378e+00 1.763507116647521356e+00
2.203481000000000023e+00 1.219518353320103415e+04 1.048152073982761431e+04 1.883298168328451316e+00 1.769005043514091824e+00
2.318928000000000100e+00 1.191966006525672310e+04 1.029141558869855726e+04 1.877087763805770360e+00 1.774270248157962193e+00
2.440344000000000069e+00 1.164109114705538559e+04 1.009676993385471542e+04 1.871323564441912835e+00 1.779255753407499974e+00
2.568175000000000097e+00 1.136286619769634490e+04 9.900139366294972206e+03 1.865950661485613615e+00 1.783905856024111891e+00
